ID,exponential_glrlm_GrayLevelNonUniformity,exponential_glrlm_ShortRunEmphasis,gradient_glcm_Imc2,gradient_glszm_ZoneEntropy,lbp_3D_k_glszm_SmallAreaLowGrayLevelEmphasis,lbp_3D_m1_glrlm_GrayLevelNonUniformityNormalized,original_shape_Elongation,square_firstorder_Range,squareroot_firstorder_Kurtosis,squareroot_glrlm_RunEntropy,squareroot_glszm_GrayLevelVariance,wavelet_HLH_glszm_LowGrayLevelZoneEmphasis,wavelet_HLL_firstorder_Kurtosis,wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis,wavelet_LLH_glszm_LargeAreaHighGrayLevelEmphasis
172.nii.gz,-0.3155179625594896,1.6648207497799985,0.5710250537240722,1.3525083708991608,0.6173597835097454,-0.463303555279416,2.228082409480741,0.2450221481333792,-0.5859545871313194,0.8467865410969766,1.1064491990860177,1.959958027906973,-0.3586293703346032,-0.017415214149382678,-0.3820856826622656
173.nii.gz,-0.8704129955013826,0.3636704150537284,-0.263938902797856,0.1537578726009868,0.3842053902787117,0.42991364576713426,1.7262407079848603,0.6083495809339994,0.86363060814197,-0.6536804908915911,-0.360368464092974,2.147672101935717,0.5105843645124475,-0.6875646548428822,-0.7322957079054526
174.nii.gz,-0.2827677204394275,0.16804507496209892,0.8671161741235165,-0.07641782219521996,0.5587110003599964,-0.13009085947368265,0.6532606991398113,0.6284047996948513,-0.6222734615762395,0.9730953133926284,1.1399027298930948,-0.6591079636992878,0.33760409426195803,0.04185786249602473,-0.053695046625623806
175.nii.gz,-0.4646871597537022,-0.1203764913862792,0.41888993116026874,0.016392635109550906,-1.2899301642022505,0.22516585459104038,-0.6149874886645461,-0.42440406385445195,-0.6273456403919274,0.6595218185387267,0.2432592645630335,0.11373537251577726,1.3937312612726573,2.61047938099403,-0.47462525679383694
176.nii.gz,-0.5979718201245636,-0.7914510307244268,-0.37573531427511275,0.1738925154746604,0.699410977404658,-0.6599673085740905,0.19783591582942434,1.2440414200903844,-0.5333799648330722,-0.7352816149297977,-0.2335379241961451,0.8391802506844843,0.39275710799631164,-0.7352746990371054,-0.6447387630862126
177.nii.gz,0.10235786553438986,-0.7816727249253279,-1.3596363333689125,0.49560376671339446,0.3654714199516519,-0.27783498267009443,-0.8230312465365474,2.1419239301655417,-0.5124364353864806,-0.7601422675277417,1.1848724161834872,1.3002607893062663,0.7620563165201968,-0.6151237054110933,-0.42356432060247595
178.nii.gz,-0.5073427852510787,0.23741326293592144,0.7119151078069963,1.2156116775044699,0.045295187358437954,-0.2572290291453559,-0.9014532901106665,1.998450925610931,-0.4040979202181951,-0.3858505967716674,1.7623159354590696,1.7283773185911486,0.44697025083191566,-0.2826531604797866,-0.6879982059114762
179.nii.gz,-0.8435433356956561,0.7967522926957534,0.9386728940309833,0.4601669305084487,1.220899200665835,-0.711721726979067,-0.3157262847315415,-0.09100250108663474,-0.08735672877421564,0.15831022963816022,-0.0009695084558440492,1.057509490573145,-0.3656592153445357,-0.509530722761771,-0.6503232261826566
18.nii.gz,-0.8969076744942293,-1.0113415521684852,-1.6527580722040174,-2.9071216253857703,-0.09467444151152624,0.6335245676416855,0.7535169823261099,-1.2437773806562797,3.954685950394036,-3.5531976615494476,-0.7136779775873796,-2.5109526811536993,-0.3539669528850665,-1.4030749480543097,-0.786099909131824
180.nii.gz,-0.8708848157182155,0.3421251836487577,1.141476272147233,0.7697889665595374,-0.21781136484546826,-0.3237751148184692,1.5487412039613244,-0.5668243111956093,-0.5919024204071444,-0.1366390345234238,0.7437327927564535,2.415490764853142,-0.35836972331696965,-0.3003419996505988,-0.8361561644012026
